name,monthly_temperature,pig_vaccinated,area,state_total_population,monthly_case_to_pop_ratio,high_risk_state,pop_density
Andaman and Nicobar Islands,26.16,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,26.46,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,27.22,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,28.22,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,28.0,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,27.6,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,27.25,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,27.07,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,26.8,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,26.81,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,26.94,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,26.59,,8249,107459.723,7.855408970401947e-06,0,13.027
Andaman and Nicobar Islands,26.16,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,26.46,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,27.22,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,28.22,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,28.0,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,27.6,,8249,108820.808,7.560652493722977e-06,1,13.192
Andaman and Nicobar Islands,27.25,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,27.07,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,26.8,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,26.81,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,26.94,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,26.59,,8249,108820.808,7.855408970401945e-06,0,13.192
Andaman and Nicobar Islands,26.16,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,26.46,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,27.22,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,28.22,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,28.0,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,27.6,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,27.25,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,27.07,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,26.8,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,26.81,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,26.94,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,26.59,,8249,110181.893,7.855408970401949e-06,0,13.357
Andaman and Nicobar Islands,26.16,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,26.46,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,27.22,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,28.22,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,28.0,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,27.6,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,27.25,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,27.07,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,26.8,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,26.81,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,26.94,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,26.59,,8249,111542.97799999999,7.855408970401947e-06,0,13.521999999999998
Andaman and Nicobar Islands,26.16,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,26.46,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,27.22,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,28.22,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,28.0,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,27.6,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,27.25,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,27.07,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,26.8,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,26.81,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,26.94,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,26.59,,8249,112904.063,7.855408970401947e-06,0,13.687
Andaman and Nicobar Islands,26.16,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,26.46,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,27.22,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,28.22,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,28.0,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,27.6,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,27.25,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,27.07,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,26.8,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,26.81,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,26.94,,8249,114265.148,7.855408970401947e-06,0,13.852
Andaman and Nicobar Islands,26.59,,8249,114265.148,7.2004134924338375e-06,1,13.852
Andaman and Nicobar Islands,26.16,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,26.46,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,27.22,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,28.22,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,28.0,,8249,115626.233,7.1156543980305e-06,1,14.017
Andaman and Nicobar Islands,27.6,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,27.25,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,27.07,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,26.8,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,26.81,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,26.94,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,26.59,,8249,115626.233,7.855408970401947e-06,0,14.017
Andaman and Nicobar Islands,26.16,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,26.46,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,27.22,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,28.22,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,28.0,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,27.6,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,27.25,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,27.07,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,26.8,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,26.81,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,26.94,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,26.59,,8249,116987.31799999998,7.855408970401947e-06,0,14.181999999999999
Andaman and Nicobar Islands,26.16,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,26.46,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,27.22,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,28.22,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,28.0,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,27.6,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,27.25,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,27.07,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,26.8,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,26.81,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,26.94,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Andaman and Nicobar Islands,26.59,,8249,118348.40299999999,7.855408970401949e-06,0,14.347
Delhi,13.24,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,17.03,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,22.6,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,29.21,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,32.98,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,33.28,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,30.84,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,29.74,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,28.86,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,25.64,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,19.96,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,14.83,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,13.24,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,17.03,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,22.6,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,29.21,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,32.98,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,33.28,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,30.84,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,29.74,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,28.86,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,25.64,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,19.96,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,14.83,,1483,1377662.51,4.369471921567476e-05,0,928.97
Delhi,13.24,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,17.03,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,22.6,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,29.21,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,32.98,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,33.28,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,30.84,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,29.74,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,28.86,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,25.64,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,19.96,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,14.83,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,13.24,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,17.03,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,22.6,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,29.21,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,32.98,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,33.28,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,30.84,,1483,1377662.51,4.369471921567476e-05,1,928.97
